viewer_name,movie_name,viewer_rating
Nathasha,Inside Out 2,3.5
Nathasha,Deadpool & Wolverine,3
Nathasha,Wicked,4.5
Nathasha,Dune Part 2,
Nathasha,Quiet Place: Day 1,4
Nathasha,Kingdom of the Planet of Apes,3.5
Joseph,Inside Out 2,
Joseph,Deadpool & Wolverine,4.5
Joseph,Wicked,
Joseph,Dune Part 2,3.5
Joseph,Quiet Place: Day 1,3
Joseph,Kingdom of the Planet of Apes,3.5
Rosy,Inside Out 2,3.5
Rosy,Deadpool & Wolverine,3.5
Rosy,Wicked,3.5
Rosy,Dune Part 2,4
Rosy,Quiet Place: Day 1,3
Rosy,Kingdom of the Planet of Apes,4
Andrew,Inside Out 2,3
Andrew,Deadpool & Wolverine,4.5
Andrew,Wicked,
Andrew,Dune Part 2,4.5
Andrew,Quiet Place: Day 1,3.5
Andrew,Kingdom of the Planet of Apes,4.5
Julia,Inside Out 2,3.5
Julia,Deadpool & Wolverine,3
Julia,Wicked,3.5
Julia,Dune Part 2,
Julia,Quiet Place: Day 1,4.5
Julia,Kingdom of the Planet of Apes,3
Kazi,Inside Out 2,4.5
Kazi,Deadpool & Wolverine,3
Kazi,Wicked,3
Kazi,Dune Part 2,3
Kazi,Quiet Place: Day 1,3.5
Kazi,Kingdom of the Planet of Apes,3.5
Badri,Inside Out 2,3.2
Badri,Deadpool & Wolverine,4
Badri,Wicked,
Badri,Dune Part 2,3.8
Badri,Quiet Place: Day 1,3.2
Badri,Kingdom of the Planet of Apes,3.9
Rafiya,Inside Out 2,4
Rafiya,Deadpool & Wolverine,
Rafiya,Wicked,4.2
Rafiya,Dune Part 2,
Rafiya,Quiet Place: Day 1,3.2
Rafiya,Kingdom of the Planet of Apes,3.6
Thomas,Inside Out 2,
Thomas,Deadpool & Wolverine,3.8
Thomas,Wicked,
Thomas,Dune Part 2,3.5
Thomas,Quiet Place: Day 1,4
Thomas,Kingdom of the Planet of Apes,3.6
Benjamin,Inside Out 2,3.7
Benjamin,Deadpool & Wolverine,3.7
Benjamin,Wicked,3.5
Benjamin,Dune Part 2,3.8
Benjamin,Quiet Place: Day 1,3.7
Benjamin,Kingdom of the Planet of Apes,3.9
